Термины на русском;Термины на английском;Сокращения на русском;Сокращения на английском
Хозяйственно-питьевое водопользование;Domestic and drinking water use;;
Бытовое водопользование;domestic water use;;
вполне пригодны;quite suitable;;
пригодны;suitable;;
пригодны с очисткой;suitable for cleaning;;
не пригодны;not suitable;;
Водохранилище / вдхр.;reservoir;;
Медь;Copper;;
Цинк;Zinc;;
Азот аммонийный;Ammonia nitrogen;;
Железо общее;Iron total;;
Марганец;Manganese;;
Азот нитритный;nitrogen nitrite;;
Фенолы;Phenols;;
Бор;Bor;;
Нефтепродукты;Oil products;;
Сульфаты;sulfates;;
Ртуть;Mercury;;
БПК5;BOD5 (Biological oxygen demand);;
Хром 6+;Chrome 6+;;
Железо 2+;Iron 2+;;
Санитарно-токсикологический;Sanitary-toxicological;с.-т.;
Органолептически;organoleptically;Орг.;
органолептический изменяет запах воды;organoleptically changes the smell of water;Орг.зап;
органолептический придает воде привкус;organoleptically gives the water a taste;Орг.привк.;
органолептический придает воде окраску;organoleptically gives color to water;Орг.окр;
Гигиенические нормативы содержания химических веществ в воде (для контроля миграции вредных химических веществ из материалов и реагентов,  применяемых в практике хозяйственно-питьевого водоснабжения);Hygienic standards for the content of chemicals in water (to control the migration of harmful chemicals from materials and reagents used in the practice of drinking water supply);;
Наименование вещества;Substance name;;
Тип показателя;Indicator type;;
Нормативы (предельно допустимые концентрации (ПДК));Standards (maximum permissible concentrations (MPC));не более в мг/л;not more than in mg / l
Показатель вредности;Hazard index;;
Общая минерализация (сухой остаток);Total mineralization (dry residue);;
Жесткость общая;General hardness;;
Обобщенные показатели;Generalized indicators;;
Нефтепродукты, суммарно;Oil products, total;;
Поверхностно-активные вещества, анионоактивные;Surfactants, anionic;ПАВ;SAS
;;(мг-экв./л); (mg-eq./L)
Неорганические вещества (катионы);Inorganic substances (cations);;
Анионы;Anions;;
Органические вещества;organic substances;;
Общ.;general sanitary;;
Алюминий (Al3+);Aluminum (Al3+);;
Аммиак (по азоту);Ammonia (for nitrogen);;
Барий (Ba2+);Barium (Ba2+);;
Бериллий (Be2+);Beryllium (Be2+);;
Бор (B, суммарно);Boron (B, total);;
Ванадий;Vanadium;;
Висмут;Bismuth;;
Вольфрам;Tungsten;;
Железо (Fe, суммарно);Iron (Fe, total);;
Кадмий (Cd, суммарно);Cadmium (Cd, total);;
Кобальт;Cobalt;;
Кремний;Silicon;;
Литий;Lithium;;
Марганец (Mn, суммарно);Manganese (Mn, total);;
Медь (Cu, суммарно);Copper (Cu, total);;
Молибден (Мо, суммарно);Molybdenum (Mo, total);;
Мышьяк (As, суммарно);Arsenic (As, total);;
Натрий;Sodium;;
Никель (Ni, суммарно);Nickel (Ni, total);;
Ниобий (Nb);Niobium (Nb);;
Ртуть (Нg, суммарно);Hydrargyrum (Hg, total);;
Свинец (Pb, суммарно);Plumbum (Pb, total);;
Селен (Se, суммарно);Selenium (Se, total);;
Серебро;Silver;;
Стронций (Sr2+);Strontium (Sr2+);;
Сурьма;Antimony;;
Таллий;Thallium;;
Титан;Titanium;;
Фосфор элементарный;Phosphorus elemental;;
Хром (Cr6+);Chromium (Cr6+);;
Хром (Cr3+);Chromium (Cr3+);;
Цинк (Zn2+);Zinc (Zn2+);;
Бромид – ион;Bromide - ion;;
Гексанитрокобальтиат-ион;Hexanitrocobaltiate ion;;
Гидросульфид – ион;Hydrosulfide - ion;;
Нитраты (по NO3-);Nitrates (according to NO3-);;
Нитрит – ион;Nitrite- ion;;
Перекись водорода;Hydrogen peroxide;;
Персульфат – ион;persulfate ion;;
Перхлорат – ион;Perchlorate - ion;;
Полифосфаты (по РО43-);Polyphosphates (according to PO43-);;
Сероводород (водорода сульфид);Hydrogen sulfide;;
Сульфаты (SO42-);Sulphates (SO42-);;
Хлорат – ион;Chlorate - ion;;
Роданид – ион;Rhodanide - ion;;
Ферроцианид – ион;Ferrocyanide - ion;;
Фториды (F-);Fluorides (F-);;
Хлориды (Cl-);Chlorides (Cl-);;
Хлорит – ион;Chlorite - ion;;
Цианиды (CN-);Cyanides (CN-);;
Акриламид (пропенамид, кислота акриловая, амид);Acrylamide (propenamide, acrylic acid, amide);;
Акриловая кислота;Acrylic acid;;
Акрилонитрил;Acrylonitrile;;
Ацетальдегид;Acetaldehyde;;
Ацетон (пропан-2-он);Acetone (propane-2-one);;
Ацетофенон;Acetophenone;;
Бензальдегид;Benzaldehyde;;
Бенз(а)пирен;Benz(a)pyrene;;
Бензилхлорид;Benzyl chloride;;
Бензол;Benzene;;
Бутадиен (дивинил);Butadiene (divinyl);;
Бутилакрилат (бутиловый эфир акриловой кислоты);Butyl acrylate (butyl ester of acrylic acid);;
Бутилацетат;Butyl acetate;;
Винилацетат;Vinyl acetate;;
Винил хлористый (винилхлорид, хлорэтилен);Vinyl chloride (vinyl chloride, chlorethylene);;
Гексаметилендиамин (1,6-диаминогексан);Hexamethylenediamine (1,6-diaminohexane);;
Гидрохинон (1,4-диоксибензол);Hydroquinone (1,4-dioxybenzene);;
Диаллилдиметиламмоний хлорид (ДАДМАХ);Diallyldimethylammonium chloride (DADMAC);;
Дибутилфталат;dibutyl phthalate;;
Диметиламин;Dimethylamine;;
Диметилтерефталат;Dimethyl terephthalate;;
Диметилфталат;dimethyl phthalate;;
Диоктилфталат;Dioctylphthalate;;
Дихлорбензол;dichlorobenzene;;
Дихлорметан (метиленхлорид, хлористый метилен);Dichloromethane (methylene chloride, methylene chloride);;
1,3-дихлор-2-пропанол;1,3-dichloro-2-propanol;;
Дифенилолпропан (4,4'-изопропилидендифенол);Diphenylolpropane (4,4'-isopropylidene diphenol);;
Дициклопентадиен;Dicyclopentadiene;;
Ди(2-этилгексил)фталат;Di(2-ethylhexyl)phthalate;;
Диэтилентриамин;Diethylenetriamine;;
Диэтилфталат;diethyl phthalate;;
Изопрен;Isoprene;;
Изопропилбензол (кумол);Isopropylbenzene (cumene);;
Е-капролактам;E-caprolactam;;
Каптакс (2-меркаптобензтиазол);Captax (2-mercaptobenzthiazole);;
Ксилол (диметилбензол);Xylene (dimethylbenzene);;
Метилакрилат (метиловый эфир акриловой кислоты);Methyl acrylate (acrylic acid methyl ester);;
Метилацетат;Methyl acetate;;
Метилметакрилат (метиловый эфир метакриловой кислоты);Methyl methacrylate (methacrylic acid methyl ester);;
б-метилстирол ((1-метилвинил) бензол);b-methylstyrene ((1-methylvinyl)benzene);;
Спирт бутиловый (бутан-1-ол, пропилкарбинол);Butyl alcohol (butan-1-ol, propylcarbinol);;
Спирт изобутиловый;Isobutyl alcohol;;
Спирт изопропиловый;Isopropyl alcohol;;
Спирт метиловый (метанол);Methyl alcohol (methanol);;
Спирт пропиловый;propyl alcohol;;
Стирол (винилбензол);Styrene (vinylbenzene);;
Тиура Д (тетраметилтиурамдисульфид);Thiura D (tetramethylthiuram disulfide);;
Толуол (метилбензол);Toluene (methylbenzene);;
Триметиламин;Trimethylamine;;
Триэтаноламин;Triethanolamine;;
Фенол (гидроксибензол);Phenol (hydroxybenzene);;
Формальдегид (метаналь);Formaldehyde (Methanal);;
Хлорбензол;Chlorobenzene;;
Эпихлоргидрин (1-хлор-2,3-эпоксипропан);Epichlorohydrin (1-chloro-2,3-epoxypropane);;
Этилацетат;ethyl acetate;;
Этилбензол;Ethylbenzene;;
Этилендиамин (1,2-диаминоэтан);Ethylenediamine (1,2-diaminoethane);;
Этиленгликоль (этан-1,2-диол);Ethylene glycol (ethane-1,2-diol);;
